0	8.17200	1.18797
1	43.87476	8.28862
2	6.53106	1.36563
3	21.74188	1.39725
4	48.26495	6.98638
5	8.69647	1.37318
6	12.68282	1.51667
7	1378.78173	158.98099
8	115952.77898	302510.67265
9	20.72148	1.99683
10	59.98684	4.65022
11	103.79019	2.79932
12	6269.68859	3213.06574
13	21.17904	1.97898
14	11.55499	2.11389
15	4.15708	1.02542
16	2357.42299	485.73361
17	48.41127	2.05288
18	5.70086	1.02986
19	15.64886	1.74002
20	143.00281	21.38497
21	51986.23512	75021.22541
22	61.58586	12.25588
23	317.17599	39.77903
24	19.82448	3.45939
25	106.67494	24.87389
26	97.32564	15.11962
27	43.27386	10.59588
28	65318.13818	111666.50959
29	1.43017	1.00021
30	12.40411	2.10650
31	19381.20956	14976.45865
32	7015.70199	3235.32116
33	120.36975	26.03116
34	27.07806	1.69038
35	38450.94627	57096.84102
36	10.34682	1.10555
37	34.02510	4.10682
38	11.36090	1.52622
39	11.11535	2.12153
40	16.08850	1.41703
41	7.04599	1.00365
42	15.35120	1.25197
43	14.77881	1.35210
44	6.76451	1.41257
45	10.55606	1.36932
46	10.61822	1.01267
47	9.93286	1.43844
48	4710.50389	1256.39890
49	2.29585	1.00003
50	11.57216	1.54939
51	17.44014	3.45800
52	1123.57704	193.88548
53	9.02916	1.04254
54	38.70044	5.21493
55	4.73338	1.01082
