0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.414	0.000	0.000	0.000	0.007	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.148	0.001	0.001	0.000	0.000	0.000	0.000	0.190	0.000	0.000	0.057	0.009	0.001	0.000	0.142	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.485	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.114	0.000	0.000	0.000	0.000	0.000	0.000	0.168	0.000	0.000	0.176	0.001	0.000	0.000	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	10	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.060	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.001	0.355	0.000	0.000	0.000	0.000	0.000	0.000	0.121	0.000	0.000	0.236	0.000	0.000	0.000	0.216	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.118	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.165	0.000	0.000	0.000	0.000	0.000	0.000	0.278	0.000	0.000	0.304	0.000	0.000	0.000	0.124	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000
4	1000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.270	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.196	0.000	0.001	0.000	0.000	0.000	0.000	0.475	0.000	0.000	0.026	0.001	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	1001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.020	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.760	0.000	0.000	0.011	0.009	0.000	0.000	0.112	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.049	0.000	0.000	0.000
6	1002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.208	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.395	0.000	0.001	0.000	0.000	0.000	0.000	0.222	0.000	0.000	0.060	0.002	0.000	0.000	0.103	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7	1003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.175	0.000	0.000	0.000	0.007	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.470	0.000	0.000	0.000	0.000	0.000	0.000	0.203	0.000	0.000	0.058	0.000	0.000	0.000	0.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8	1004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.581	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.054	0.000	0.001	0.000	0.000	0.000	0.000	0.074	0.000	0.000	0.138	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.078	0.000	0.000	0.000	0.002	0.000	0.000	0.000
9	1005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.622	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.032	0.000	0.001	0.000	0.000	0.000	0.000	0.092	0.000	0.000	0.104	0.000	0.000	0.000	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.077	0.000	0.000	0.000	0.001	0.000	0.000	0.000
