0	0	335.60991	9.07714	0.03571	0.03572	0.03571	0.81010	1.39132	20.24383	0.25937	68.18074	62.24363	0.07351	0.03571	0.80144	4.64486	382.29078	0.04201	0.05298	0.04000	0.03571	4.24255	0.03610	0.03572	475.09025	0.99294	28.95171	397.89585	12.31471
1	1	1393.65469	0.13896	0.03571	7.23893	0.03571	0.04866	0.03571	4.05676	0.03599	2.41713	56.40761	0.03571	0.03571	0.30927	0.04988	109.66621	0.08984	0.03571	0.03572	0.03571	0.19598	0.05232	0.03571	126.92443	0.03571	0.03571	0.03571	103.78476
2	10	0.03571	1.00364	0.03571	0.03571	0.03571	0.03571	0.03571	14.09034	0.03571	0.03571	0.03571	0.18580	0.03571	2.74348	3.99687	0.03571	0.03571	0.05300	0.09780	0.03571	8.11784	1.02540	0.03571	371.20298	26.23471	0.03571	1375.66982	0.54260
3	100	158.09385	0.03984	0.03571	0.03571	0.03571	28.02331	0.03571	3.49916	1.02150	1.93208	1.83540	0.03571	0.03571	0.04949	0.47886	15.87446	2.17491	0.03581	0.11589	0.03572	0.03571	35.38604	0.03571	220.69437	0.03571	0.61935	1335.23279	0.03573
4	1000	65.91802	7.33348	0.03571	0.03571	0.03571	0.24994	0.03571	3.02158	0.03575	45.95304	0.04012	0.03571	0.03571	0.03571	0.08865	644.43946	0.03571	0.03571	0.03571	0.03571	2.63523	0.03571	0.03571	674.98690	0.03571	5.80290	348.73768	5.75725
5	1001	100.52558	0.03572	0.03571	0.03571	0.03571	0.03571	0.03676	0.03571	10.24962	10.59717	0.03571	0.03571	0.03571	0.03638	0.15220	480.41733	0.03571	0.03571	0.03571	0.03571	0.05504	0.03571	0.03571	0.11108	0.03571	5.78457	1196.92712	0.03571
6	1002	220.75423	0.03702	0.03571	0.03571	0.03571	0.10812	0.03571	3.58487	0.06702	2.13318	108.67236	0.03571	0.03571	0.04210	0.03908	799.78125	0.03571	0.03571	0.03571	0.03571	0.87960	0.03574	0.03571	200.93335	0.03974	109.49596	315.57548	42.92804
7	1003	11.16611	0.15978	0.03571	73.09155	0.03571	0.36092	0.03571	4.46136	0.03571	156.32057	58.26427	0.03571	0.03571	0.04535	16.13671	1094.81602	0.03571	0.05776	0.05186	0.03746	0.07658	0.03571	0.03571	217.99904	0.05717	2.45641	169.58395	0.03571
8	1004	0.03571	0.03571	0.03571	0.03571	0.03571	0.03571	0.05341	0.03571	0.03571	10.80268	0.03571	129.80007	0.03571	0.33403	0.83192	233.73842	0.03571	0.03571	0.03571	0.03617	0.03571	0.03571	0.03571	429.65207	0.53323	0.82007	944.82600	53.50051
9	1005	0.03571	0.03571	0.03571	0.03571	0.03571	0.03571	0.06525	0.03571	0.03571	15.16234	0.03571	129.75648	0.03571	0.35197	1.04831	262.18032	0.03571	0.03571	0.03571	0.03630	0.03571	0.03571	0.03571	452.76498	0.50610	1.01092	888.19748	53.84815
10	1006	170.10278	0.03571	0.03571	0.03571	0.03571	0.05041	0.03571	71.34035	0.03571	16.32787	36.17669	49.65789	0.03571	0.04354	0.03686	280.72659	0.06053	0.03571	0.03571	0.03571	0.03571	0.03571	0.03571	115.48940	0.03571	0.04375	1024.48794	40.45540
11	1007	204.69127	0.03571	0.03571	0.03571	0.03571	0.04685	0.03572	107.94419	1.75425	2.74207	12.83037	55.79782	0.03571	0.18419	0.04095	48.67320	0.03571	0.03571	0.03571	0.03571	0.20564	0.03571	0.03571	182.14208	0.03571	0.03572	1182.87779	5.06932
12	1008	0.03571	0.04453	0.03571	0.03571	0.03571	0.03571	0.03571	0.06995	0.07070	0.03571	97.33256	0.03571	0.03571	2.44547	0.03572	456.67271	10.51158	0.03571	0.03571	0.03571	2.61419	0.03571	0.03571	1.29833	0.11290	0.13946	1057.25148	176.40040
13	1009	605.93932	0.16502	0.03571	0.03571	0.03571	0.19483	0.03644	4.09077	6.64272	10.79372	16.20721	0.03571	0.03571	0.85831	0.71067	422.67393	0.03571	0.03580	0.03734	0.03571	0.08852	0.03571	0.03571	25.18977	0.03639	1.80355	648.99612	60.67816
14	101	898.84313	0.03906	0.03571	0.31914	0.03571	0.44265	0.03571	1.63294	0.03574	60.01668	38.78539	37.18947	0.03571	0.03750	0.04150	97.43621	0.03571	0.03571	0.03571	0.03571	0.03592	0.03571	0.03571	77.50625	0.03571	9.21782	581.71544	1.81230
15	1010	980.97955	0.09301	0.03571	1.68256	0.03571	2.53605	0.03571	9.33888	0.08340	92.72703	7.52693	47.62797	0.03571	0.12640	2.70951	300.28362	0.03571	0.03579	0.03640	0.03571	0.48248	0.03571	0.03571	70.19019	0.03571	13.47612	235.32436	39.91833
16	1011	173.16243	0.20043	0.03571	0.03571	0.03571	0.23342	0.03571	0.03572	1.30722	0.03571	0.03571	0.03571	0.03571	0.13597	0.03572	114.54533	0.03571	0.03571	0.03571	0.03571	0.88462	40.04706	0.03571	214.11474	0.03571	0.19210	1260.06949	0.03575
17	1012	1307.32740	0.04008	0.03571	0.03571	0.03571	0.09011	0.03571	2.23465	0.03692	16.04330	21.71246	0.03571	0.03571	0.11502	0.08622	179.66402	0.03645	0.03572	0.03571	0.03571	0.12541	0.03571	0.03571	130.56244	0.06915	56.91343	37.91582	52.13426
18	1013	0.03571	0.09457	0.03571	0.03572	0.03571	33.22589	0.04091	1.00299	0.03767	4.22525	0.03571	0.03571	0.03571	0.03571	0.15242	0.03571	0.03572	0.03571	0.03571	0.03685	0.04064	0.03571	0.03571	1736.15672	0.03571	29.87895	0.03571	0.03571
19	1014	752.58110	0.97594	0.03571	0.03571	0.03571	0.03571	0.03571	248.65731	0.03571	0.03571	117.10998	0.03571	0.03571	7.27958	0.03571	52.14054	0.03571	0.03572	0.03572	0.03571	1.21580	0.03571	0.03571	128.50681	0.03571	495.26499	0.03571	1.12508
20	1015	450.32274	0.04365	0.03571	0.03571	0.03571	0.09644	0.03571	0.08130	0.03571	83.42253	0.10665	0.03571	0.03571	0.09985	0.52080	611.42505	0.71636	0.04023	0.05052	0.03575	0.12690	0.03571	0.03571	354.57020	0.03597	16.76789	286.68003	0.03571
21	1016	438.29658	0.03571	0.03571	0.03571	0.03571	0.09006	0.03571	0.03571	0.37283	17.23914	0.03571	0.03571	0.03571	0.13775	0.63626	1281.78970	0.03571	0.03574	0.07533	0.03571	0.03571	0.03571	0.03571	59.81928	0.03571	0.16297	5.29645	1.01219
